Name,,Sample,Expression
ENSG00000143514.17,,GTEX.1HCU7.0926.SM.A96TK,21.9176
ENSG00000143514.17,,GTEX.1HCUA.0226.SM.A8N88,42.4263
ENSG00000143514.17,,GTEX.1HCVE.0626.SM.A9SL2,33.1856
ENSG00000143514.17,,GTEX.1HFI6.0926.SM.9WPPV,34.8465
ENSG00000143514.17,,GTEX.1HSKV.1126.SM.ADEIA,42.7592
ENSG00000143514.17,,GTEX.1HSMO.0926.SM.A96S7,22.6989
ENSG00000143514.17,,GTEX.1HSMP.5007.SM.I9BPJ,19.0105
ENSG00000143514.17,,GTEX.1HSMQ.5005.SM.HAUXX,39.7808
ENSG00000143514.17,,GTEX.1HT8W.1426.SM.CE6S2,61.441
ENSG00000143514.17,,GTEX.1I19N.0526.SM.A9G27,30.2889
ENSG00000143514.17,,GTEX.1I1CD.0926.SM.CL55I,32.8317
ENSG00000143514.17,,GTEX.1I1GP.0526.SM.ARL7G,39.7176
ENSG00000143514.17,,GTEX.1I1GQ.1126.SM.CNNQT,45.728
ENSG00000143514.17,,GTEX.1I1GR.0726.SM.B2LWL,29.1506
ENSG00000143514.17,,GTEX.1I1GS.1426.SM.COH3W,20.8191
ENSG00000143514.17,,GTEX.1I1GU.0526.SM.B2LX2,38.7493
ENSG00000143514.17,,GTEX.1I1GV.0926.SM.B2LXM,22.4813
ENSG00000143514.17,,GTEX.1I4MK.0326.SM.B2LWP,34.5293
ENSG00000143514.17,,GTEX.1I6K6.0926.SM.AHZ2N,34.4817
ENSG00000143514.17,,GTEX.1I6K7.1226.SM.B2LVS,31.8658
ENSG00000143514.17,,GTEX.1ICLZ.0926.SM.CKZPQ,21.3709
ENSG00000143514.17,,GTEX.1IDJD.0826.SM.GA917,17.6978
ENSG00000143514.17,,GTEX.1IDJH.0726.SM.ARU7U,49.4479
ENSG00000143514.17,,GTEX.1IDJI.0626.SM.C1YQD,25.6171
ENSG00000143514.17,,GTEX.1IDJU.0226.SM.CKZOF,46.7495
ENSG00000143514.17,,GTEX.1IKJJ.0926.SM.A9G2L,53.7885
ENSG00000143514.17,,GTEX.1IKK5.1926.SM.A9G2V,60.9959
ENSG00000143514.17,,GTEX.1IKOE.1226.SM.GA8ZY,34.7355
ENSG00000143514.17,,GTEX.1IL2U.0926.SM.CKZOB,31.4462
ENSG00000143514.17,,GTEX.1IL2V.0726.SM.ARZMB,31.1849
ENSG00000143514.17,,GTEX.1IOXB.1126.SM.CNNQ5,22.8033
ENSG00000143514.17,,GTEX.1IY9M.1126.SM.A9SLV,33.597
ENSG00000143514.17,,GTEX.1J1OQ.0926.SM.CJI34,24.357
ENSG00000143514.17,,GTEX.1J1R8.0226.SM.AHZ3C,35.7574
ENSG00000143514.17,,GTEX.1J8EW.1026.SM.A96T7,18.3241
ENSG00000143514.17,,GTEX.1J8JJ.1126.SM.CL55P,57.6994
ENSG00000143514.17,,GTEX.1J8Q3.0826.SM.GA8ZP,51.0845
ENSG00000143514.17,,GTEX.1J8QM.0526.SM.AHZ3Y,32.9218
ENSG00000143514.17,,GTEX.1JJE9.0926.SM.CNNP9,21.4739
ENSG00000143514.17,,GTEX.1JJEA.1126.SM.CKZOC,41.6134
ENSG00000143514.17,,GTEX.1JK1U.1126.SM.CY8HK,45.5023
ENSG00000143514.17,,GTEX.1JKYN.2126.SM.ARU8W,50.4414
ENSG00000143514.17,,GTEX.1JMLX.0926.SM.CNNPQ,30.4463
ENSG00000143514.17,,GTEX.1JMOU.0526.SM.CNNPE,30.0719
ENSG00000143514.17,,GTEX.1JMPZ.1126.SM.ARU8X,27.7501
ENSG00000143514.17,,GTEX.1JMQI.1126.SM.ARZN2,27.2855
ENSG00000143514.17,,GTEX.1JMQJ.2126.SM.CNPPA,43.2727
ENSG00000143514.17,,GTEX.1JMQL.1126.SM.CKZOP,19.6108
ENSG00000143514.17,,GTEX.1JN6P.0726.SM.ARZN7,30.8785
ENSG00000143514.17,,GTEX.1JN76.0826.SM.C1YRK,27.0239
ENSG00000143514.17,,GTEX.1K2DU.0526.SM.D4P2Y,28.7585
ENSG00000143514.17,,GTEX.1K9T9.0926.SM.D3L9C,29.415
